Step,px,py,pz,vx,vy,vz,fx,fy,fz
0,101.03897191251654,201.98893980623632,302.98251055758783,0.10779237020518471,0.19775996073749294,0.2964963349462438,0,0,0
1,102.15580564893233,203.95463963840058,305.92981184608055,0.1155722139758831,0.19535205019715482,0.2929582143748289,0,0,0
2,103.3503714232096,205.89542216657443,308.84156136279046,0.12333862722488453,0.19277654819965917,0.28938604944691126,0,0,0
3,104.6225304161547,207.80961295645244,311.7174207364628,0.13109070742572476,0.19003375404130107,0.2857802552799047,0,0,0
4,105.9721347915502,209.69554066392624,314.5570557665975,0.13882755371756747,0.18712398645921627,0.28214125089924036,0,0,0
5,107.39902771333472,211.55153722930962,317.36013646228605,0.14654826700989246,0.18404758359434106,0.27846945918967236,0,0,0
6,108.90304336382866,213.37593807118193,320.12633708055955,0.1542519500869779,0.18080490295211735,0.27476530684613476,0,0,0
7,110.48400696300375,215.16708227982735,322.85533616424294,0.16193770771216479,0.1773963213609472,0.2710292243241558,0,0,0
8,112.14173478879403,216.92331281024732,325.54681657931116,0.16960464673189146,0.1738222349284022,0.2672616457898352,0,0,0
9,113.87603419844595,218.64297667472397,328.2004655517429,0.177251876179486,0.17008305899519208,0.26346300906939,0,0,0
10,115.68670365090524,220.32442513491205,330.81597470386794,0.1848785073787045,0.16617922808689845,0.25963375559827556,0,0,0
11,117.57353273023774,221.966013893437,333.39304009020304,0.19248365404700318,0.16211119586347914,0.25577433036988645,0,0,0
12,119.53630217008161,223.56610328497703,335.93136223277344,0.20006643239853228,0.15787943506654875,0.2518851818838446,0,0,0
13,121.57478387912803,225.12305846680675,338.43064615591464,0.2076259612468399,0.15348443746444196,0.24796676209387944,0,0,0
14,123.68874096762748,226.63524960878053,340.89060142055143,0.2151613621072737,0.14892671379506556,0.24401952635530685,0,0,0
15,125.87792777491839,228.10105208273325,343.3109421579492,0.22267175929906866,0.14420679370654627,0.24004393337211294,0,0,0
16,128.14208989797513,229.51884665127668,345.6913871029348,0.23015628004710897,0.1393252256956808,0.2360404451436484,0,0,0
17,130.4809642209719,230.8870196559692,348.03165962658176,0.23761405458335233,0.1342825770441957,0.23200952691094015,0,0,0
